List A,List B,Merged
"[1088, 1003, 1203, 1082]","[2581, 1086, 2630, 1212]","[1088, 1003, 2630, 1212]"
"[521, 2379, 583, 2412]","[3300, 646, 3364, 704]","[521, 646, 3364, 2412]"
"[3362, 1927, 3409, 2039]","[3195, 2233, 3243, 2331]","[3195, 1927, 3409, 2331]"
"[2569, 1239, 2617, 1321]","[1401, 2366, 461, 2427]","[1401, 1239, 2617, 2427]"
"[1030, 613, 1094, 673]","[1227, 1024, 1300, 1073]","[1030, 613, 1300, 1073]"
"[2219, 1922, 2263, 2031]","[937, 2382, 1012, 2427]","[937, 1922, 2263, 2427]"
"[1174, 1915, 1255, 1957]","[3281, 726, 3343, 790]","[1174, 726, 3343, 1957]"
"[1120, 1488, 1232, 1537]","[2738, 1839, 2786, 1962]","[1120, 1488, 2786, 1962]"
"[1100, 614, 1144, 640]","[1260, 1498, 1329, 1540]","[1100, 614, 1329, 1540]"
"[3197, 4221, 3303, 4332]","[1029, 2008, 1135, 2113]","[1029, 2008, 3303, 4332]"
"[857, 3418, 971, 3539]","[1781, 1115, 1880, 1258]","[857, 1115, 1880, 3539]"
"[4524, 2781, 4637, 2891]","[1777, 3780, 1885, 3893]","[1777, 2781, 4637, 3893]"
"[4358, 3417, 4448, 3571]","[5444, 1114, 5551, 1259]","[4358, 1114, 5551, 3571]"
"[3481, 2795, 3690, 2872]","[3699, 1135, 3807, 1236]","[3481, 1135, 3807, 2872]"
"[3107, 2002, 3201, 2164]","[3695, 1329, 3773, 1464]","[3107, 1329, 3773, 2164]"
"[2785, 1133, 2886, 1236]","[4529, 1134, 4638, 1244]","[2785, 1133, 4638, 1244]"
"[1776, 743, 1862, 890]","[5443, 2007, 5527, 2158]","[1776, 743, 5527, 2158]"
"[2785, 1610, 2895, 1710]","[1057, 1713, 1137, 1900]","[1057, 1610, 2895, 1900]"
"[929, 399, 1025, 594]","[3363, 807, 3528, 886]","[929, 399, 3528, 886]"
"[1370, 1369, 1468, 1483]","[3414, 2060, 3634, 2137]","[1370, 1369, 3634, 2137]"
"[2727, 687, 2809, 908]","[2375, 761, 2574, 857]","[2375, 687, 2809, 908]"
"[638, 2187, 716, 2361]","[1305, 454, 1383, 598]","[638, 454, 1383, 2361]"
"[2270, 1815, 2443, 1891]","[2267, 2060, 2475, 2136]","[2267, 1815, 2475, 2136]"
"[3365, 510, 3485, 593]","[1103, 862, 1186, 1016]","[1103, 510, 3485, 1016]"
"[2639, 1109, 2832, 1193]","[504, 2133, 600, 2365]","[504, 1109, 2832, 2365]"
"[3360, 619, 3547, 723]","[3414, 1934, 3593, 2018]","[3360, 619, 3593, 2018]"
"[3264, 2239, 3434, 2319]","[2633, 1226, 2833, 1320]","[2633, 1226, 3434, 2319]"
"[389, 2219, 469, 2360]","[1047, 455, 1078, 591]","[389, 455, 1078, 2360]"
"[1224, 850, 1307, 1013]","[2268, 1934, 2445, 2016]","[1224, 850, 2445, 2016]"
"[938, 2142, 1016, 2372]","[1179, 1684, 1258, 1899]","[938, 1684, 1258, 2372]"
"[3366, 747, 3499, 771]","[1136, 1331, 1214, 1483]","[1136, 747, 3499, 1483]"
"[2788, 1861, 2934, 1942]","[1102, 412, 1135, 595]","[1102, 412, 2934, 1942]"
"[1253, 1303, 1335, 1482]","[3310, 4207, 3508, 4361]","[1253, 1303, 3508, 4361]"
"[1130, 1985, 1310, 2135]","[965, 3400, 1140, 3558]","[965, 1985, 1310, 3558]"
"[1881, 1112, 2155, 1264]","[4631, 2769, 4829, 2919]","[1881, 1112, 4829, 2919]"
"[1885, 3777, 2100, 3906]","[5549, 2498, 5725, 2653]","[1885, 2498, 5725, 3906]"
"[4465, 3444, 4723, 3512]","[5551, 1113, 5825, 1262]","[4465, 1113, 5825, 3512]"
"[3519, 2547, 3650, 2788]","[3801, 1127, 4003, 1251]","[3519, 1127, 4003, 2788]"
"[3214, 2029, 3484, 2107]","[3802, 1350, 4057, 1420]","[3214, 1350, 4057, 2107]"
"[2872, 1131, 3102, 1247]","[4634, 1137, 4892, 1237]","[2872, 1131, 4892, 1247]"
"[1887, 769, 2149, 838]","[5547, 2029, 5816, 2105]","[1887, 769, 5816, 2105]"
"[2633, 1194, 2681, 1315]","[2424, 1923, 2469, 2051]","[2424, 1194, 2681, 2051]"
"[2642, 673, 2671, 742]","[2416, 1810, 2463, 1908]","[2416, 673, 2671, 1908]"
"[2622, 1089, 2669, 1173]","[801, 669, 842, 739]","[801, 669, 2669, 1173]"
"[1447, 2072, 1472, 2132]","[2849, 2073, 2879, 2139]","[1447, 2072, 2879, 2139]"
"[3262, 1328, 3302, 1443]","[1388, 2642, 1463, 2690]","[1388, 1328, 3302, 2690]"
"[1242, 2632, 1371, 2684]","[2570, 1639, 2616, 1730]","[1242, 1639, 2616, 2684]"
"[2419, 2066, 2460, 2145]","[1138, 2643, 1217, 2690]","[1138, 2066, 2460, 2690]"
"[2634, 766, 2680, 889]","[3301, 399, 3366, 460]","[2634, 399, 3366, 889]"
"[2211, 1701, 2272, 1760]","[1437, 599, 1493, 652]","[1437, 599, 2272, 1760]"
"[2571, 1363, 2637, 1427]","[1310, 1897, 1369, 1957]","[1310, 1363, 2637, 1957]"
"[2571, 986, 2619, 1064]","[1357, 1014, 1418, 1072]","[1357, 986, 2619, 1072]"
"[2312, 438, 2378, 524]","[3299, 807, 3344, 881]","[2312, 438, 3344, 881]"
"[3361, 1916, 3407, 2037]","[2723, 1645, 2791, 1702]","[2723, 1645, 3407, 2037]"
"[2728, 1743, 2777, 1838]","[3353, 2056, 3400, 2133]","[2728, 1743, 3400, 2133]"
"[1040, 2374, 1155, 2416]","[2218, 1908, 2265, 2040]","[1040, 1908, 2265, 2416]"
"[935, 1913, 1014, 1958]","[753, 2384, 827, 2427]","[753, 1913, 1014, 2427]"
"[939, 1027, 1009, 1071]","[2210, 2054, 2253, 2136]","[939, 1027, 2253, 2136]"
"[942, 609, 1035, 652]","[1373, 1478, 1432, 1538]","[942, 609, 1432, 1538]"
"[2572, 1239, 2618, 1309]","[615, 2373, 729, 2417]","[615, 1239, 2618, 2417]"
"[3315, 495, 3353, 608]","[1288, 606, 1400, 643]","[1288, 495, 3353, 643]"
"[1036, 1904, 1158, 1951]","[2719, 925, 2802, 971]","[1036, 925, 2802, 1951]"
"[1089, 1004, 1203, 1084]","[3195, 2241, 3243, 2316]","[1089, 1004, 3243, 2316]"
"[2323, 589, 2367, 706]","[3353, 987, 3399, 1063]","[2323, 589, 3399, 1063]"
"[405, 2365, 461, 2425]","[2208, 1824, 2251, 1890]","[405, 1824, 2251, 2425]"
"[521, 2380, 582, 2412]","[1227, 1024, 1300, 1072]","[521, 1024, 1300, 2412]"
"[2478, 1944, 2657, 2027]","[2689, 686, 2817, 731]","[2478, 686, 2817, 2027]"
"[2480, 1826, 2687, 1899]","[2688, 1094, 2900, 1177]","[2480, 1094, 2900, 1899]"
"[863, 668, 1078, 749]","[1494, 2059, 1709, 2153]","[863, 668, 1709, 2153]"
"[2898, 2057, 3105, 2153]","[3314, 1346, 3433, 1428]","[2898, 1346, 3433, 2153]"
"[1382, 2408, 1481, 2627]","[1267, 2444, 1348, 2629]","[1267, 2408, 1481, 2629]"
"[2632, 1640, 2821, 1718]","[2476, 2062, 2664, 2143]","[2476, 1640, 2821, 2143]"
"[1144, 2419, 1228, 2633]","[2692, 788, 2828, 869]","[1144, 788, 2828, 2633]"
"[3362, 386, 3487, 474]","[2270, 1686, 2381, 1779]","[2270, 386, 3487, 1779]"
"[1415, 472, 1518, 596]","[2638, 1360, 2802, 1422]","[1415, 472, 2802, 1422]"
"[1294, 1786, 1394, 1898]","[2633, 989, 2851, 1068]","[1294, 989, 2851, 1898]"
"[1341, 889, 1438, 1016]","[2375, 403, 2704, 539]","[1341, 403, 2704, 1016]"
"[3363, 804, 3529, 888]","[3415, 1934, 3593, 2017]","[3363, 804, 3593, 2017]"
"[2787, 1608, 2899, 1710]","[2791, 1730, 3020, 1829]","[2787, 1608, 3020, 1829]"
"[3417, 2060, 3628, 2138]","[1061, 2184, 1141, 2365]","[1061, 2060, 3628, 2365]"
"[2271, 1932, 2447, 2016]","[936, 1686, 1016, 1899]","[936, 1686, 2447, 2016]"
"[754, 2146, 835, 2365]","[951, 847, 1047, 1011]","[754, 847, 1047, 2365]"
"[2271, 2060, 2484, 2135]","[928, 397, 1025, 593]","[928, 397, 2484, 2135]"
"[1367, 1369, 1465, 1484]","[2635, 1226, 2836, 1321]","[1367, 1226, 2836, 1484]"
"[635, 2186, 717, 2364]","[3365, 511, 3488, 593]","[635, 511, 3488, 2364]"
"[1307, 451, 1383, 597]","[1058, 1710, 1139, 1904]","[1058, 451, 1383, 1904]"
"[2728, 688, 2808, 908]","[1105, 867, 1187, 1015]","[1105, 688, 2808, 1015]"
"[3261, 2238, 3433, 2319]","[2372, 613, 2518, 691]","[2372, 613, 3433, 2319]"
"[3417, 989, 3603, 1070]","[390, 2229, 467, 2363]","[390, 989, 3603, 2363]"
"[2271, 1813, 2442, 1893]","[503, 2137, 600, 2367]","[503, 1813, 2442, 2367]"
"[1172, 1914, 1254, 1957]","[2580, 1093, 2627, 1213]","[1172, 1093, 2627, 1957]"
"[937, 2383, 1013, 2428]","[1113, 1486, 1238, 1536]","[937, 1486, 1238, 2428]"
"[2737, 1838, 2786, 1961]","[1260, 1497, 1328, 1539]","[1260, 1497, 2786, 1961]"
"[1789, 1880, 1858, 1948]","[1999, 1514, 2061, 1574]","[1789, 1514, 2061, 1948]"
"[1377, 2298, 1437, 2361]","[2624, 1429, 2686, 1487]","[1377, 1429, 2686, 2361]"
"[907, 2290, 966, 2355]","[2691, 1013, 2752, 1071]","[907, 1013, 2752, 2355]"
"[1803, 913, 845, 992]","[648, 1719, 708, 1789]","[648, 913, 845, 1789]"
"[3598, 1012, 3665, 1073]","[3237, 1028, 3326, 1071]","[3237, 1012, 3665, 1073]"
"[918, 2028, 959, 2145]","[802, 556, 860, 615]","[802, 556, 959, 2145]"
"[1584, 1515, 1643, 1575]","[1812, 770, 855, 889]","[1584, 770, 1643, 1575]"
"[2003, 910, 2047, 995]","[2009, 1244, 2052, 1365]","[2003, 910, 2052, 1365]"
"[1376, 1873, 1420, 1952]","[386, 2313, 447, 2374]","[386, 1873, 1420, 2374]"
"[1359, 1031, 1434, 1071]","[2669, 1953, 2763, 2014]","[1359, 1031, 2763, 2014]"
"[3043, 614, 3123, 657]","[1587, 1394, 1630, 1481]","[1587, 614, 3123, 1481]"
"[908, 2169, 949, 2246]","[1391, 2149, 1428, 2277]","[908, 2149, 1428, 2277]"
"[648, 1092, 689, 1168]","[3333, 1019, 3452, 1063]","[648, 1019, 3452, 1168]"
"[2904, 605, 3028, 650]","[2900, 1020, 3026, 1064]","[2900, 605, 3028, 1064]"
"[2001, 1385, 2046, 1461]","[2829, 1939, 2952, 2020]","[2001, 1385, 2952, 2020]"
"[388, 2202, 430, 2289]","[1377, 2055, 1435, 2120]","[388, 2055, 1435, 2289]"
"[1353, 1967, 1419, 2037]","[2849, 1430, 2908, 1489]","[1353, 1430, 2908, 2037]"
"[3034, 1028, 3119, 1070]","[2721, 1440, 2838, 1477]","[2721, 1028, 3119, 1477]"
"[2965, 1447, 3032, 1512]","[1585, 1086, 1628, 1177]","[1585, 1086, 3032, 1512]"
"[2798, 1028, 2881, 1073]","[1170, 1985, 1228, 2048]","[1170, 1028, 2881, 2048]"
"[2677, 2116, 2741, 2178]","[3146, 1311, 3206, 1368]","[2677, 1311, 3206, 2178]"
"[1180, 1681, 1257, 1899]","[2642, 1110, 2829, 1193]","[1180, 1110, 2829, 1899]"
"[940, 2145, 1017, 2372]","[1134, 1330, 1214, 1483]","[940, 1330, 1214, 2372]"
"[2793, 1861, 2935, 1944]","[1252, 1306, 1333, 1483]","[1252, 1306, 2935, 1944]"
"[1849, 1865, 1963, 1964]","[2064, 1497, 2186, 1592]","[1849, 1497, 2186, 1964]"
"[1432, 2284, 1554, 2383]","[2608, 1304, 2707, 1428]","[1432, 1304, 2707, 2383]"
"[966, 2280, 1091, 2375]","[2674, 899, 2770, 1013]","[966, 899, 2770, 2375]"
"[865, 915, 1076, 991]","[701, 1731, 798, 1778]","[701, 915, 1076, 1778]"
"[3595, 883, 3671, 991]","[3221, 801, 3314, 1016]","[3221, 801, 3671, 1016]"
"[970, 2043, 1109, 2126]","[841, 554, 1031, 617]","[841, 554, 1109, 2126]"
"[1644, 1493, 1765, 1592]","[863, 790, 1037, 872]","[863, 790, 1765, 1592]"
"[2061, 911, 2245, 991]","[2065, 1259, 2204, 1343]","[2061, 911, 2245, 1343]"
"[1438, 1875, 1605, 1954]","[446, 2307, 556, 2401]","[446, 1875, 1605, 2401]"
"[1362, 796, 1443, 1014]","[2644, 1622, 2775, 1955]","[1362, 796, 2775, 1955]"
"[3045, 376, 3125, 596]","[1646, 1382, 1805, 1463]","[1646, 376, 3125, 1463]"
"[968, 2164, 1128, 2242]","[1434, 2170, 1560, 2249]","[968, 2164, 1560, 2249]"
"[709, 1095, 921, 1175]","[3354, 827, 3434, 1012]","[709, 827, 3434, 1175]"
"[2923, 415, 3006, 596]","[2926, 828, 3005, 1013]","[2923, 415, 3006, 1013]"
"[2064, 1382, 2216, 1460]","[2845, 1837, 2932, 1946]","[2064, 1382, 2932, 1946]"
"[445, 2195, 621, 2271]","[1436, 2031, 1618, 2142]","[445, 2031, 1618, 2271]"
"[1444, 1989, 1571, 2011]","[2850, 1242, 2965, 1428]","[1444, 1242, 2965, 2011]"
"[3045, 797, 3126, 1015]","[2741, 1304, 2821, 1430]","[2741, 797, 3126, 1430]"
"[446, 2069, 594, 2151]","[2985, 1289, 3011, 1426]","[446, 1289, 3011, 2151]"
"[1645, 1093, 1859, 1216]","[2805, 801, 2881, 1011]","[1645, 801, 2881, 1216]"
"[1231, 1973, 1353, 2068]","[2736, 2103, 2847, 2196]","[1231, 1973, 2847, 2196]"
"[3208, 1294, 3329, 1390]","[1491, 1248, 1597, 1342]","[1491, 1248, 3329, 1390]"
"[598, 1867, 655, 1927]","[2415, 1569, 2460, 1659]","[598, 1569, 2460, 1927]"
"[3146, 884, 3192, 957]","[1738, 2290, 1785, 2368]","[1738, 884, 3192, 2368]"
"[751, 887, 791, 960]","[3039, 1565, 3086, 1644]","[751, 887, 3086, 1644]"
"[1425, 986, 1494, 1108]","[1789, 1913, 1852, 2007]","[1425, 986, 1852, 2007]"
"[1427, 706, 1473, 786]","[1165, 1559, 1208, 1638]","[1165, 706, 1473, 1638]"
"[2573, 1379, 2635, 1439]","[3052, 1665, 3098, 1789]","[2573, 1379, 3098, 1789]"
"[2581, 1108, 2627, 1226]","[2103, 2228, 2174, 2271]","[2103, 1108, 2627, 2271]"
"[1430, 347, 1492, 406]","[760, 985, 804, 1111]","[760, 347, 1492, 1111]"
"[2573, 1250, 2617, 1327]","[2003, 1322, 2062, 1379]","[2003, 1250, 2617, 1379]"
"[607, 1665, 647, 1788]","[1447, 470, 1472, 535]","[607, 470, 1472, 1788]"
"[750, 1387, 792, 1460]","[3147, 1071, 3209, 1130]","[750, 1071, 3209, 1460]"
"[3158, 1160, 3196, 1283]","[2519, 2304, 2563, 2375]","[2519, 1160, 3196, 2375]"
"[594, 1552, 638, 1643]","[1427, 878, 1471, 963]","[594, 878, 1471, 1643]"
"[1181, 1837, 1215, 1959]","[1427, 1132, 1470, 1208]","[1181, 1132, 1470, 1959]"
"[1167, 1744, 1228, 1808]","[1436, 560, 1483, 680]","[1167, 560, 1483, 1808]"
"[1147, 1650, 1208, 1731]","[3127, 975, 3192, 1049]","[1147, 975, 3192, 1731]"
"[2000, 1218, 2046, 1285]","[1800, 1739, 1843, 1860]","[1800, 1218, 2046, 1860]"
"[2008, 1062, 2054, 1184]","[3303, 1988, 3365, 2047]","[2008, 1062, 3365, 2047]"
"[2729, 2055, 2791, 2117]","[2209, 2055, 2271, 2118]","[2209, 2055, 2791, 2118]"
"[956, 1842, 1002, 1920]","[1414, 1481, 1474, 1538]","[956, 1481, 1474, 1920]"
"[2218, 1789, 2262, 1907]","[3300, 1559, 3347, 1637]","[2218, 1559, 3347, 1907]"
"[595, 572, 637, 657]","[504, 1691, 561, 1750]","[504, 572, 637, 1750]"
"[1896, 810, 1938, 882]","[2676, 987, 2724, 1066]","[1896, 810, 2724, 1066]"
"[386, 990, 431, 1067]","[2722, 1785, 2801, 1907]","[386, 990, 2801, 1907]"
"[859, 1702, 932, 1751]","[591, 665, 659, 781]","[591, 665, 932, 1751]"
"[661, 1848, 767, 1947]","[2477, 1559, 2698, 1653]","[661, 1559, 2698, 1947]"
"[3206, 885, 3365, 964]","[1802, 2310, 1929, 2353]","[1802, 885, 3365, 2353]"
"[815, 886, 1028, 968]","[3104, 1562, 3316, 1646]","[815, 886, 3316, 1646]"
"[1491, 1008, 1597, 1087]","[1848, 1905, 2166, 2038]","[1491, 1008, 2166, 2038]"
"[1491, 705, 1705, 785]","[1230, 1563, 1386, 1643]","[1230, 705, 1705, 1643]"
"[2633, 1366, 2760, 1462]","[3102, 1683, 3283, 1764]","[2633, 1366, 3283, 1764]"
"[2640, 1130, 2775, 1210]","[2101, 1994, 2187, 2216]","[2101, 1130, 2775, 2216]"
"[1490, 338, 1621, 418]","[812, 1007, 1003, 1087]","[812, 338, 1621, 1087]"
"[2635, 1250, 2788, 1327]","[2066, 1316, 2174, 1414]","[2066, 1250, 2788, 1414]"
"[659, 1682, 834, 1767]","[1492, 451, 1695, 553]","[659, 451, 1695, 1767]"
"[809, 1374, 1021, 1471]","[3209, 1040, 3385, 1156]","[809, 1040, 3385, 1471]"
"[3210, 1182, 3352, 1263]","[2586, 2293, 2758, 2374]","[2586, 1182, 3352, 2374]"
"[657, 1561, 864, 1643]","[1492, 888, 1697, 966]","[657, 888, 1697, 1643]"
"[1233, 1857, 1369, 1940]","[1489, 1126, 1697, 1209]","[1233, 1126, 1697, 1940]"
"[1229, 1723, 1407, 1831]","[1489, 581, 1697, 663]","[1229, 581, 1697, 1831]"
"[1227, 1676, 1367, 1700]","[3212, 999, 3347, 1022]","[1227, 999, 3347, 1700]"
"[2064, 1203, 2231, 1283]","[1854, 1756, 2003, 1844]","[1854, 1203, 2231, 1844]"
"[2067, 1080, 2206, 1162]","[3364, 1967, 3487, 2069]","[2067, 1080, 3487, 2069]"
"[2869, 2042, 2993, 2139]","[2270, 2044, 2388, 2138]","[2270, 2042, 2993, 2139]"
"[1019, 1839, 1233, 1922]","[1399, 1367, 1497, 1477]","[1019, 1367, 1497, 1922]"
"[2275, 1806, 2408, 1890]","[3365, 1564, 3527, 1642]","[2275, 1564, 3527, 1890]"
"[657, 555, 856, 650]","[497, 1558, 571, 1690]","[497, 555, 856, 1690]"
"[1957, 809, 2173, 889]","[2740, 990, 2953, 1071]","[1957, 809, 2953, 1071]"
"[448, 989, 662, 1070]","[2868, 1805, 3012, 1889]","[448, 989, 3012, 1889]"
"[875, 1552, 918, 1688]","[659, 685, 768, 767]","[659, 685, 918, 1688]"
"[593, 440, 652, 524]","[1478, 2418, 1542, 2484]","[593, 440, 1542, 2484]"
"[1897, 452, 1955, 509]","[593, 808, 640, 890]","[593, 452, 1955, 890]"
"[1903, 669, 1950, 786]","[1031, 1497, 1120, 1542]","[1031, 669, 1950, 1542]"
"[1304, 926, 1383, 968]","[1894, 571, 1938, 637]","[1304, 571, 1938, 968]"
"[2729, 1928, 2777, 2006]","[2208, 1927, 2252, 2006]","[2208, 1927, 2777, 2006]"
"[396, 1088, 440, 1215]","[719, 1695, 842, 1743]","[396, 1088, 842, 1743]"
"[3314, 1837, 3351, 1958]","[1293, 1496, 1355, 1525]","[1293, 1496, 3351, 1958]"
"[1146, 1487, 1267, 1534]","[864, 2435, 935, 2477]","[864, 1487, 1267, 2477]"
"[2716, 1669, 2845, 1775]","[3300, 1745, 3365, 1809]","[2716, 1669, 3365, 1809]"
"[3280, 1653, 3345, 1728]","[1359, 2430, 1437, 2480]","[1359, 1653, 3345, 2480]"
"[597, 274, 674, 358]","[1217, 2424, 1336, 2473]","[597, 274, 1336, 2473]"
"[2038, 2153, 2103, 2218]","[2454, 1841, 2523, 1907]","[2038, 1841, 2523, 2218]"
"[2621, 298, 2686, 359]","[864, 1687, 927, 1750]","[864, 298, 2686, 1750]"
"[958, 650, 1005, 726]","[2256, 1063, 2325, 1171]","[958, 650, 2325, 1171]"
"[958, 1068, 1022, 1171]","[959, 831, 1004, 909]","[958, 831, 1022, 1171]"
"[960, 295, 1021, 355]","[820, 2310, 883, 2378]","[820, 295, 1021, 2378]"
"[806, 1999, 874, 2069]","[1218, 2323, 1300, 2377]","[806, 1999, 1300, 2377]"
"[1842, 1863, 1922, 1909]","[1408, 1598, 1484, 1648]","[1408, 1598, 1922, 1909]"
"[2621, 650, 2671, 726]","[1980, 768, 2065, 813]","[1980, 650, 2671, 813]"
"[1214, 1709, 1304, 1755]","[986, 1701, 107, 1751]","[986, 1701, 1304, 1755]"
"[2256, 838, 2306, 905]","[2030, 1864, 2102, 1910]","[2030, 838, 2306, 1910]"
"[2632, 509, 2681, 627]","[2302, 1854, 2428, 1895]","[2302, 509, 2681, 1895]"
"[931, 2325, 1011, 2377]","[2252, 930, 2333, 1053]","[931, 930, 2333, 2377]"
"[964, 931, 1013, 1058]","[2119, 1863, 2193, 1930]","[964, 931, 2193, 1930]"
"[2034, 2485, 2107, 2516]","[967, 508, 1014, 628]","[967, 508, 2107, 2516]"
"[657, 432, 831, 527]","[1475, 2311, 1571, 2422]","[657, 432, 1571, 2422]"
"[1957, 439, 2082, 522]","[656, 805, 864, 887]","[656, 439, 2082, 887]"
"[1954, 684, 2132, 768]","[1039, 1264, 1119, 1482]","[1039, 684, 2132, 1482]"
"[1312, 689, 1390, 909]","[1956, 555, 2156, 652]","[1312, 555, 2156, 909]"
"[2871, 1927, 3027, 2007]","[2273, 1927, 2430, 2007]","[2273, 1927, 3027, 2007]"
"[449, 1110, 626, 1193]","[738, 1534, 819, 1694]","[449, 1110, 819, 1694]"
"[3364, 1858, 3502, 1940]","[1277, 1265, 1371, 1489]","[1277, 1265, 3502, 1940]"
"[1166, 1303, 1244, 1480]","[849, 2199, 950, 2419]","[849, 1303, 1244, 2419]"
"[2869, 1605, 3029, 1726]","[3360, 1719, 3544, 1835]","[2869, 1605, 3544, 1835]"
"[3364, 1678, 3502, 1699]","[1354, 2194, 1450, 2416]","[1354, 1678, 3502, 2416]"
"[672, 260, 919, 355]","[1240, 2266, 1317, 2421]","[672, 260, 1317, 2421]"
"[2020, 2048, 2121, 2154]","[2436, 1720, 2539, 1845]","[2020, 1720, 2539, 2154]"
"[2689, 294, 2842, 356]","[849, 1575, 943, 1687]","[849, 294, 2842, 1687]"
"[1022, 653, 1236, 732]","[2322, 1094, 2505, 1139]","[1022, 653, 2505, 1139]"
"[1024, 1094, 1201, 1139]","[1019, 833, 1232, 913]","[1019, 833, 1232, 1139]"
"[1022, 289, 1146, 365]","[800, 2191, 903, 2319]","[800, 289, 1146, 2319]"
"[782, 1892, 875, 2002]","[1188, 2157, 1288, 2315]","[782, 1892, 1288, 2315]"
"[1843, 1624, 1929, 1847]","[1401, 1366, 1498, 1586]","[1401, 1366, 1929, 1847]"
"[2690, 670, 2812, 712]","[1986, 529, 2069, 749]","[1986, 529, 2812, 749]"
"[1220, 1480, 1304, 1692]","[969, 1468, 1069, 1692]","[969, 1468, 1304, 1692]"
"[2324, 853, 2463, 895]","[2029, 1686, 2111, 1846]","[2029, 853, 2463, 1846]"
"[2685, 531, 2851, 611]","[2331, 1700, 2409, 1848]","[2331, 531, 2851, 1848]"
"[936, 2151, 1012, 2311]","[2324, 952, 2461, 1033]","[936, 952, 2461, 2311]"
"[1022, 954, 1178, 1036]","[2141, 1700, 2170, 1843]","[1022, 954, 2170, 1843]"
"[2019, 2243, 2118, 2474]","[1022, 528, 1204, 612]","[1022, 528, 2118, 2474]"
"[911, 2015, 990, 2066]","[1079, 1695, 1206, 1744]","[911, 1695, 1206, 2066]"
"[2214, 1845, 2274, 1907]","[1002, 2002, 1127, 2061]","[1002, 1845, 2274, 2061]"
"[1479, 1015, 1539, 1075]","[1012, 946, 1069, 1005]","[1012, 946, 1539, 1075]"
"[2312, 527, 2378, 589]","[2209, 1447, 2270, 1505]","[2209, 527, 2378, 1505]"
"[2824, 1165, 2890, 1229]","[2675, 1448, 2739, 1509]","[2675, 1165, 2890, 1509]"
"[1012, 1491, 1070, 1551]","[645, 1845, 688, 1928]","[645, 1491, 1070, 1928]"
"[1010, 2282, 1053, 2369]","[1010, 2028, 1052, 2108]","[1010, 2028, 1053, 2369]"
"[2668, 1662, 2743, 1779]","[3197, 1849, 3243, 1929]","[2668, 1662, 3243, 1929]"
"[1738, 1967, 1812, 2014]","[2626, 2405, 2688, 2471]","[1738, 1967, 2688, 2471]"
"[1477, 525, 1519, 613]","[1947, 876, 2012, 961]","[1477, 525, 2012, 961]"
"[3071, 817, 3164, 862]","[1481, 1436, 1540, 1492]","[1481, 817, 3164, 1492]"
"[2209, 1847, 2252, 1928]","[2207, 1561, 2252, 1632]","[2207, 1561, 2252, 1928]"
"[1473, 1838, 1522, 1927]","[1023, 795, 1061, 918]","[1023, 795, 1522, 1927]"
"[2624, 2035, 2668, 2108]","[904, 336, 949, 413]","[904, 336, 2668, 2108]"
"[2624, 2277, 2668, 2351]","[2677, 1851, 2721, 1929]","[2624, 1851, 2721, 2351]"
"[1492, 871, 1527, 982]","[2676, 1559, 2723, 1635]","[1492, 871, 2723, 1635]"
"[3316, 1187, 3406, 1229]","[3308, 821, 3384, 864]","[3308, 821, 3406, 1229]"
"[2913, 1176, 3046, 1218]","[2951, 806, 3017, 864]","[2913, 806, 3046, 1218]"
"[1014, 704, 1071, 760]","[1006, 1707, 1072, 1824]","[1006, 704, 1072, 1824]"
"[1006, 1845, 1052, 1932]","[1482, 1539, 1520, 1605]","[1006, 1539, 1520, 1932]"
"[1011, 2403, 1072, 2466]","[3160, 801, 3289, 865]","[1011, 801, 3289, 2466]"
"[1020, 2131, 1062, 2252]","[3497, 1188, 3563, 1229]","[1020, 1188, 3563, 2252]"
"[1475, 1628, 1543, 1748]","[2630, 2131, 2675, 2252]","[1475, 1628, 2675, 2252]"
"[1956, 700, 2003, 817]","[1011, 1599, 1052, 1682]","[1011, 700, 2003, 1682]"
"[2038, 2153, 2103, 2218]","[2454, 1841, 2523, 1907]","[2038, 1841, 2523, 2218]"
"[1102, 1508, 1183, 1696]","[2188, 1663, 2299, 1847]","[1102, 1508, 2299, 1847]"
"[1028, 1847, 1105, 1999]","[1540, 1002, 1663, 1099]","[1028, 1002, 1663, 1999]"
"[1071, 929, 1196, 1026]","[2374, 513, 2483, 608]","[1071, 513, 2483, 1026]"
"[2270, 1428, 2391, 1525]","[2806, 1046, 2909, 1168]","[2270, 1046, 2909, 1525]"
"[2739, 1429, 2862, 1525]","[1074, 1476, 1181, 1572]","[1074, 1429, 2862, 1572]"
"[709, 1849, 918, 1931]","[1073, 2267, 1275, 2362]","[709, 1849, 1275, 2362]"
"[1074, 2029, 1285, 2113]","[2741, 1680, 2824, 1759]","[1074, 1680, 2824, 2113]"
"[3262, 1850, 3474, 1929]","[1736, 1732, 1814, 1945]","[1736, 1732, 3474, 1945]"
"[2691, 2407, 2860, 2465]","[1543, 510, 1738, 610]","[1543, 510, 2860, 2465]"
"[2011, 865, 2337, 996]","[3054, 599, 3153, 805]","[2011, 599, 3153, 996]"
"[1540, 1401, 1648, 1498]","[2273, 1817, 2430, 1914]","[1540, 1401, 2430, 1914]"
"[2274, 1559, 2434, 1640]","[1544, 1802, 1746, 1896]","[1544, 1559, 2434, 1896]"
